list,object_number,object,condition,sentence_type,image_type,picture,image_path,sentence,,,,,,,,,,,,,,,,,,,,,
4,1,watermelon,modified-slice,modified,slice,watermelon_slice.jpeg,PICTURES/experimental-pics/watermelon_slice.jpeg,Someone slices a watermelon in front of you.,,,,,,,,,,,,,,,,,,,,,
4,2,apple,modified-slice,modified,slice,apple_slice.jpeg,PICTURES/experimental-pics/apple_slice.jpeg,Someone slices an apple in front of you.,,,,,,,,,,,,,,,,,,,,,
4,3,cake,modified-slice,modified,slice,cake_slice.jpeg,PICTURES/experimental-pics/cake_slice.jpeg,Someone slices a cake in front of you.,,,,,,,,,,,,,,,,,,,,,
4,4,pie ,modified-slice,modified,slice,pie _slice.jpeg,PICTURES/experimental-pics/pie _slice.jpeg,Someone slices a pie in front of you.,,,,,,,,,,,,,,,,,,,,,
4,5,bread,modified-slice,modified,slice,bread_slice.jpeg,PICTURES/experimental-pics/bread_slice.jpeg,Someone slices bread in front of you.,,,,,,,,,,,,,,,,,,,,,
4,6,pineapple,modified-slice,modified,slice,pineapple_slice.jpeg,PICTURES/experimental-pics/pineapple_slice.jpeg,Someone slices a pineapple in front of you.,,,,,,,,,,,,,,,,,,,,,
4,7,peach,modified-whole,modified,whole,peach_whole.jpeg,PICTURES/experimental-pics/peach_whole.jpeg,Someone slices a peach in front of you.,,,,,,,,,,,,,,,,,,,,,
4,8,steak,modified-whole,modified,whole,steak_whole.jpeg,PICTURES/experimental-pics/steak_whole.jpeg,Someone slices a steak in front of you.,,,,,,,,,,,,,,,,,,,,,
4,9,cheesecake,modified-whole,modified,whole,cheesecake_whole.jpeg,PICTURES/experimental-pics/cheesecake_whole.jpeg,Someone slices a cheesecake in front of you.,,,,,,,,,,,,,,,,,,,,,
4,10,lemon,modified-whole,modified,whole,lemon_whole.jpeg,PICTURES/experimental-pics/lemon_whole.jpeg,Someone slices a lemon in front of you.,,,,,,,,,,,,,,,,,,,,,
4,11,tomato,modified-whole,modified,whole,tomato_whole.jpeg,PICTURES/experimental-pics/tomato_whole.jpeg,Someone slices a tomato in front of you.,,,,,,,,,,,,,,,,,,,,,
4,12,orange,modified-whole,modified,whole,orange_whole.jpeg,PICTURES/experimental-pics/orange_whole.jpeg,Someone slices an orange in front of you.,,,,,,,,,,,,,,,,,,,,,
4,13,pizza,neutral-slice,neutral,slice,pizza_slice.jpeg,PICTURES/experimental-pics/pizza_slice.jpeg,Someone places a pizza in front of you.,,,,,,,,,,,,,,,,,,,,,
4,14,melon,neutral-slice,neutral,slice,melon_slice.jpeg,PICTURES/experimental-pics/melon_slice.jpeg,Someone places a melon in front of you.,,,,,,,,,,,,,,,,,,,,,
4,15,cucumber,neutral-slice,neutral,slice,cucumber_slice.jpeg,PICTURES/experimental-pics/cucumber_slice.jpeg,Someone places a cucumber in front of you.,,,,,,,,,,,,,,,,,,,,,
4,16,carrot,neutral-slice,neutral,slice,carrot_slice.jpeg,PICTURES/experimental-pics/carrot_slice.jpeg,Someone places a carrot in front of you.,,,,,,,,,,,,,,,,,,,,,
4,17,onion,neutral-slice,neutral,slice,onion_slice.jpeg,PICTURES/experimental-pics/onion_slice.jpeg,Someone places an onion in front of you.,,,,,,,,,,,,,,,,,,,,,
4,18,mushrooms,neutral-slice,neutral,slice,mushrooms_slice.jpeg,PICTURES/experimental-pics/mushrooms_slice.jpeg,Someone places mushrooms in front of you.,,,,,,,,,,,,,,,,,,,,,
4,19,radish,neutral-whole,neutral,whole,radish_whole.jpeg,PICTURES/experimental-pics/radish_whole.jpeg,Someone places a radish in front of you.,,,,,,,,,,,,,,,,,,,,,
4,20,pear,neutral-whole,neutral,whole,pear_whole.jpeg,PICTURES/experimental-pics/pear_whole.jpeg,Someone places a pear in front of you.,,,,,,,,,,,,,,,,,,,,,
4,21,pepper,neutral-whole,neutral,whole,pepper_whole.jpeg,PICTURES/experimental-pics/pepper_whole.jpeg,Someone places a pepper in front of you.,,,,,,,,,,,,,,,,,,,,,
4,22,mango,neutral-whole,neutral,whole,mango_whole.jpeg,PICTURES/experimental-pics/mango_whole.jpeg,Someone places a mango in front of you.,,,,,,,,,,,,,,,,,,,,,
4,23,strawberry,neutral-whole,neutral,whole,strawberry_whole.jpeg,PICTURES/experimental-pics/strawberry_whole.jpeg,Someone places a strawberry in front of you.,,,,,,,,,,,,,,,,,,,,,
4,24,grapefruit,neutral-whole,neutral,whole,grapefruit_whole.jpeg,PICTURES/experimental-pics/grapefruit_whole.jpeg,Someone places a grapefruit in front of you.,,,,,,,,,,,,,,,,,,,,,
